time:1597525565.9724517	IP:8.8.8.8	totalPings:100	avgPing:17.0	maxPing:48	last10Avg:17.0	last10Max:48	timeout:0	packetLoss:0.0%
time:1597525568.8190136	IP:8.8.8.8	totalPings:200	avgPing:18.2	maxPing:64	last10Avg:19.5	last10Max:64	timeout:0	packetLoss:0.0%
time:1597525571.7936838	IP:8.8.8.8	totalPings:300	avgPing:19.1	maxPing:78	last10Avg:20.7	last10Max:78	timeout:0	packetLoss:0.0%
time:1597525574.622326	IP:8.8.8.8	totalPings:400	avgPing:19.2	maxPing:78	last10Avg:19.5	last10Max:77	timeout:0	packetLoss:0.0%
time:1597525577.3416977	IP:8.8.8.8	totalPings:500	avgPing:19.0	maxPing:78	last10Avg:18.3	last10Max:47	timeout:0	packetLoss:0.0%
time:1597525580.2427309	IP:8.8.8.8	totalPings:600	avgPing:19.2	maxPing:78	last10Avg:20.1	last10Max:59	timeout:0	packetLoss:0.0%
time:1597525582.9588413	IP:8.8.8.8	totalPings:700	avgPing:19.1	maxPing:78	last10Avg:18.3	last10Max:56	timeout:0	packetLoss:0.0%
time:1597525585.8301952	IP:8.8.8.8	totalPings:800	avgPing:19.2	maxPing:78	last10Avg:19.8	last10Max:48	timeout:0	packetLoss:0.0%
time:1597525588.5667372	IP:8.8.8.8	totalPings:900	avgPing:19.1	maxPing:78	last10Avg:18.4	last10Max:72	timeout:0	packetLoss:0.0%
time:1597525591.402369	IP:8.8.8.8	totalPings:1000	avgPing:19.1	maxPing:78	last10Avg:18.9	last10Max:78	timeout:0	packetLoss:0.0%
time:1597525594.0645537	IP:8.8.8.8	totalPings:1100	avgPing:18.9	maxPing:78	last10Avg:17.7	last10Max:58	timeout:0	packetLoss:0.0%
time:1597525596.7797627	IP:8.8.8.8	totalPings:1200	avgPing:18.9	maxPing:78	last10Avg:18.2	last10Max:62	timeout:0	packetLoss:0.0%
time:1597525599.2916121	IP:8.8.8.8	totalPings:1300	avgPing:18.7	maxPing:78	last10Avg:16.3	last10Max:54	timeout:0	packetLoss:0.0%
time:1597525601.9952126	IP:8.8.8.8	totalPings:1400	avgPing:18.6	maxPing:78	last10Avg:18.1	last10Max:55	timeout:0	packetLoss:0.0%
time:1597525604.6633372	IP:8.8.8.8	totalPings:1500	avgPing:18.6	maxPing:78	last10Avg:17.8	last10Max:58	timeout:0	packetLoss:0.0%
time:1597525607.5312212	IP:8.8.8.8	totalPings:1600	avgPing:18.7	maxPing:78	last10Avg:19.8	last10Max:60	timeout:0	packetLoss:0.0%
time:1597525610.3937063	IP:8.8.8.8	totalPings:1700	avgPing:18.7	maxPing:78	last10Avg:19.7	last10Max:50	timeout:0	packetLoss:0.0%
time:1597525613.2772183	IP:8.8.8.8	totalPings:1800	avgPing:18.8	maxPing:87	last10Avg:20.0	last10Max:87	timeout:0	packetLoss:0.0%
time:1597525616.190149	IP:8.8.8.8	totalPings:1900	avgPing:18.9	maxPing:87	last10Avg:20.2	last10Max:53	timeout:0	packetLoss:0.0%
time:1597525619.2615688	IP:8.8.8.8	totalPings:2000	avgPing:19.0	maxPing:87	last10Avg:21.9	last10Max:58	timeout:0	packetLoss:0.0%
time:1597525622.235194	IP:8.8.8.8	totalPings:2100	avgPing:19.1	maxPing:87	last10Avg:20.8	last10Max:87	timeout:0	packetLoss:0.0%
time:1597525625.329831	IP:8.8.8.8	totalPings:2200	avgPing:19.2	maxPing:87	last10Avg:22.0	last10Max:65	timeout:0	packetLoss:0.0%
time:1597525628.229877	IP:8.8.8.8	totalPings:2300	avgPing:19.3	maxPing:87	last10Avg:20.2	last10Max:68	timeout:0	packetLoss:0.0%
time:1597525631.3338594	IP:8.8.8.8	totalPings:2400	avgPing:19.3	maxPing:87	last10Avg:20.9	last10Max:62	timeout:0	packetLoss:0.0%
time:1597525634.8627336	IP:8.8.8.8	totalPings:2500	avgPing:19.6	maxPing:147	last10Avg:26.3	last10Max:147	timeout:0	packetLoss:0.0%
time:1597525637.8971927	IP:8.8.8.8	totalPings:2600	avgPing:19.7	maxPing:147	last10Avg:21.5	last10Max:96	timeout:0	packetLoss:0.0%
time:1597525641.6198971	IP:8.8.8.8	totalPings:2700	avgPing:20.0	maxPing:147	last10Avg:28.2	last10Max:138	timeout:0	packetLoss:0.0%
time:1597525645.054766	IP:8.8.8.8	totalPings:2800	avgPing:20.2	maxPing:147	last10Avg:25.5	last10Max:73	timeout:0	packetLoss:0.0%
time:1597525648.1177201	IP:8.8.8.8	totalPings:2900	avgPing:20.3	maxPing:147	last10Avg:21.7	last10Max:62	timeout:0	packetLoss:0.0%
time:1597525650.967378	IP:8.8.8.8	totalPings:3000	avgPing:20.2	maxPing:147	last10Avg:19.6	last10Max:60	timeout:0	packetLoss:0.0%
time:1597525654.0146964	IP:8.8.8.8	totalPings:3100	avgPing:20.3	maxPing:147	last10Avg:21.4	last10Max:66	timeout:0	packetLoss:0.0%
time:1597525657.0876925	IP:8.8.8.8	totalPings:3200	avgPing:20.3	maxPing:147	last10Avg:21.8	last10Max:63	timeout:0	packetLoss:0.0%
time:1597525660.1650622	IP:8.8.8.8	totalPings:3300	avgPing:20.4	maxPing:147	last10Avg:21.9	last10Max:65	timeout:0	packetLoss:0.0%
time:1597525662.8468075	IP:8.8.8.8	totalPings:3400	avgPing:20.3	maxPing:147	last10Avg:17.9	last10Max:54	timeout:0	packetLoss:0.0%
time:1597525665.5682786	IP:8.8.8.8	totalPings:3500	avgPing:20.2	maxPing:147	last10Avg:18.3	last10Max:74	timeout:0	packetLoss:0.0%
